label	kind	manuscript_title	exact_declarations	alignment_status	note
reducible	proposition	Reducible and irreducible uncertainty	SequentialLearning.hilbert_reducible_irreducible_decomposition; SequentialLearning.conditional_innovation_series; SequentialLearning.predictableIrreducibleVariance_eq_zero_iff	Exact composite	Decomposition, series, and zero-residual characterisation are separate declarations.
eq:partialsum	equation	Finite innovation partial sum	SequentialLearning.predictable_innovation_step; SequentialLearning.conditional_innovation_series	Exact composite	The infinite series follows through the proved upward-convergence bridge.
currentremaining	proposition	Current target and remaining change	SequentialLearning.current_target_and_remaining_change	Exact	Conditional covariance is represented by conditional expectation of the inner product.
psilip	lemma	Lipschitz stability of Frechet risk and variance	SequentialLearning.frechetRootRisk_le_add_wasserstein2_add_dist; SequentialLearning.frechetRootRisk_toReal_abs_sub_le_dist; SequentialLearning.sqrt_frechetVariance_abs_sub_le_wasserstein2	Exact composite	The three declarations match items (i)-(iii).
eq:psilip	equation	Root-risk Wasserstein inequality	SequentialLearning.frechetRootRisk_le_add_wasserstein2_add_dist	Exact	Extended-real root risk is used before finiteness is imposed.
displacement	lemma	Posterior displacement is well defined	SequentialLearning.frechetVariance_completedLaw; SequentialLearning.regularConditionalLaw_completedKernel; SequentialLearning.wasserstein2LawMeasurable_pseudometricCompletion; SequentialLearning.posteriorDisplacementENN_ae_eq_of_pairRCDs; SequentialLearning.posteriorDisplacement_sq_le_condExp; SequentialLearning.posteriorDisplacement_memLp_two_closed; SequentialLearning.integral_posteriorDisplacement_sq_le_closed	Exact composite	The completed Polish law and measurable W2 bridge are fully formalised.
dispbound	proposition	Posterior displacement bound	SequentialLearning.frechet_posterior_displacement_bound_closed	Exact	The pair RCD is the only additional RCD boundary.
dispsharp	proposition	Sharpness of the displacement bound	SequentialLearning.frechetVariance_difference_le_displacement_envelope; SequentialLearning.frechetVariance_displacement_envelope_sharp	Exact composite	Universal bound and symmetric two-point equality witness are separate.
dispenvelope	proposition	Predictable displacement envelope	SequentialLearning.frechet_predictable_displacement_envelope_closed	Exact	W2 measurability is proved internally.
breakeven	corollary	Break-even criterion	SequentialLearning.frechet_break_even_criterion_closed	Exact	W2 measurability is proved internally.
rotation	construction	Rotation family	SequentialLearning.rotationEstimand; SequentialLearning.rotationLimit; SequentialLearning.rotationDiscrepancy; SequentialLearning.rotationGamma; SequentialLearning.scalarConditionalVariance	Exact composite	The aligned construction is the abstract analytic rotation family, not a packaged observation model.
rotprops	lemma	Properties of the rotation family	SequentialLearning.rotationEstimand_norm; SequentialLearning.rotationEstimand_sub_limit_norm; SequentialLearning.rotationDiscrepancy_bijOn; SequentialLearning.rotationGamma_strictly_decreases_with_discrepancy; SequentialLearning.rotation_posteriorVariance_formula_of_independent; SequentialLearning.rotation_family_one_step_formulas	Exact composite	Geometry and conditional-variance identities are split into reusable declarations.
flagspace	lemma	Flag space	SequentialLearning.FlagSpace.measurableSet_flag_eq; SequentialLearning.FlagSpace.frechetRisk_eq_project; SequentialLearning.FlagSpace.frechetVariance_eq_project; SequentialLearning.FlagSpace.wasserstein2_project_le; SequentialLearning.FlagSpace.attachFlagKernel_comp_project; SequentialLearning.FlagSpace.liftCoupling_map_values; SequentialLearning.FlagSpace.transportL2Cost_liftCoupling; SequentialLearning.FlagSpace.couplingsLift; SequentialLearning.FlagSpace.wasserstein2_eq_project	Exact	Boolean conditional-flag kernels lift every projected coupling with exactly the same transport cost; no CouplingsLift hypothesis remains.
flagadmissible	definition	Admissible flag process	SequentialLearning.HypotheticalSequentialEstimand.AdmissibleFlagProcess; SequentialLearning.StructuralWitnesses.admissibleFlagProcess; SequentialLearning.Phase3.admissible_flag_process	Exact	Prefix compatibility, terminal compatibility, and concrete stagewise measurability are explicit.
obsmaps	construction	Finite observation maps	SequentialLearning.NoisyObservationModel.LatentState; SequentialLearning.NoisyObservationModel.latentLaw; SequentialLearning.NoisyObservationModel.firstSignal; SequentialLearning.NoisyObservationModel.secondSignal; SequentialLearning.NoisyObservationModel.noObservation; SequentialLearning.NoisyObservationModel.oneObservation; SequentialLearning.NoisyObservationModel.twoObservations; SequentialLearning.NoisyObservationModel.filtration	Exact composite	The aligned manuscript uses the compiled 256-state experiment.
bothverdicts	proposition	Both verdicts for one flag-lifted estimand	SequentialLearning.canonicalConditionalLaw_isRCD; SequentialLearning.SameEstimandImpossibility.stageLaw_isRCD; SequentialLearning.SameEstimandImpossibility.stageFrechetVariance_eq_hilbert; SequentialLearning.SameEstimandImpossibility.flagged_uninformative_all_stages; SequentialLearning.SameEstimandImpossibility.flagged_uninformative_all_transitions; SequentialLearning.SameEstimandImpossibility.flagged_information_term; SequentialLearning.SameEstimandImpossibility.flagged_movement_term; SequentialLearning.SameEstimandImpossibility.flagged_noisy_verdict; SequentialLearning.SameEstimandImpossibility.bothverdicts	Exact composite	The same flag-valued stage function is used under both canonical RCDs; Model A has equality at every transition and Model B has exact values 3/340, 44/340, and 41/340.
impossibility	theorem	Class membership does not determine learning outside the fixed class	SequentialLearning.SameEstimandImpossibility.witnesses; SequentialLearning.SameEstimandImpossibility.classEventsMeasurable; SequentialLearning.SameEstimandImpossibility.impossibility; SequentialLearning.Phase5.impossibility; SequentialLearning.fixedTarget_learning	Exact	Every non-fixed class has a single flag-lifted rotation witness with measurable class events and the two observation-model verdicts; fixed estimands retain the universal guarantee.
tailorder	proposition	Conditional stochastic domination of discrepancy	SequentialLearning.conditional_stochastic_domination_of_measurable_discrepancy; SequentialLearning.conditional_stochastic_domination_sequence; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_stochastic_domination_sequence	Exact composite	Real RCD existence is proved; the class wrapper derives monotonicity from HasClass.
tailsupermart	corollary	Tail supermartingale	SequentialLearning.conditional_tail_refinement; SequentialLearning.conditional_tail_supermartingale; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_tail_supermartingale	Exact composite	Generic and class-facing forms are both indexed.
tailloss	corollary	Increasing loss functions	SequentialLearning.conditional_increasing_loss_order_nonnegative; SequentialLearning.conditional_increasing_loss_supermartingale_nonnegative; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_increasing_loss_supermartingale	Exact	Measurability is derived from the globally monotone constant-left extension r ↦ g(max r 0); no hypothesis on g below zero is exposed.
threeway	proposition	Refinement of the decomposition	SequentialLearning.terminalThreeWay_refinement; SequentialLearning.threeway	Exact composite	The generic theorem and concrete absorption-oracle wrapper are both listed.
oracledef	definition	Absorption oracle	SequentialLearning.absorptionEvent; SequentialLearning.absorptionOracleSpace; SequentialLearning.pInfinity	Exact	The generated event sigma-algebra is represented by absorptionOracleMeasurableSpace.
oraclewelldef	lemma	Absorption oracle is well defined	SequentialLearning.absorption_oracle_well_defined	Exact	Event measurability follows from the stage events and terminal-stage map.
oraclestrict	proposition	Strict oracle gap	SequentialLearning.oraclestrict	Exact	No branch-finiteness or finite-branch hypothesis is exposed beyond the bundled RCD data.
oraclehilbert	corollary	Hilbert form of the oracle gap	SequentialLearning.oraclehilbert	Exact	Branch L2 follows internally on the interior-probability event.
msedecomp	proposition	Exact MSE decomposition	SequentialLearning.exact_mse_decomposition	Exact	The equality case is stated as almost-sure zero posterior bias.
biasweight	lemma	Discrepancy weighting of bias	SequentialLearning.discrepancy_weighting_of_bias	Exact	The aligned proof uses a zero fallback direction and does not assume a nonzero Hilbert space.
msehierarchy	theorem	Mean squared error hierarchy	SequentialLearning.mean_squared_error_hierarchy; SequentialLearning.mean_squared_error_hierarchy_dynamics; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_mean_squared_error_hierarchy_complete	Exact composite	Stagewise sandwich and dynamics are separate generic results and a closed class wrapper.
mseabsorbing	corollary	Absorbing classes	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.absorbingClass_process_persistence_event; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.absorbingClass_process_mse_bound	Exact composite	Absorbing coverage is derived from HasClass.
msefixed	corollary	Fixed estimands	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.fixedClass_process_mse_corollary	Exact	Fixedness is derived from HasClass.
msenonmono	remark	Non-monotonic classes	SequentialLearning.exact_mse_decomposition; SequentialLearning.discrepancy_weighting_of_bias	Supported prose	The surviving identity and bound are exact theorems; the absence of dynamics is interpretive.
mseattribution	remark	What each class property contributes	SequentialLearning.mean_squared_error_hierarchy_dynamics; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.absorbingClass_process_persistence_event	Supported prose	The mathematical contributions of monotonicity and absorption are separately formalised.
witnesses	lemma	Class witnesses	SequentialLearning.StructuralWitnesses.witnesses; SequentialLearning.StructuralWitnesses.classEventsMeasurable; SequentialLearning.StructuralWitnesses.admissibleFlagProcess	Exact	All nine aligned table rows use the canonical greatest family.
tab:classes	table	Canonical witness table	SequentialLearning.StructuralWitnesses.rowValue; SequentialLearning.StructuralWitnesses.witnesses	Exact data and proof	The table values now match rowValue exactly.
